target_id,repo,file,line,containing_type,method,receiver_type,kind
aspnetcore:0674,aspnetcore,src/SignalR/clients/csharp/Client.Core/src/HubConnection.cs,249,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
aspnetcore:0675,aspnetcore,src/SignalR/clients/csharp/Client.Core/src/HubConnection.cs,252,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
aspnetcore:0676,aspnetcore,src/SignalR/clients/csharp/Client.Core/src/HubConnection.cs,2172,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
aspnetcore:0677,aspnetcore,src/SignalR/clients/csharp/Http.Connections.Client/src/HttpConnection.cs,290,System.Net.Http.HttpMessageInvoker,Dispose,System.Net.Http.HttpMessageInvoker,NonVirtual
aspnetcore:0678,aspnetcore,src/SignalR/clients/csharp/Http.Connections.Client/src/HttpConnection.cs,485,System.Net.Http.HttpClient,SendAsync,System.Net.Http.HttpClient,NonVirtual
aspnetcore:0679,aspnetcore,src/SignalR/clients/csharp/Http.Connections.Client/src/Internal/LongPollingTransport.cs,235,System.Net.Http.HttpClient,SendAsync,System.Net.Http.HttpClient,NonVirtual
aspnetcore:0680,aspnetcore,src/SignalR/clients/csharp/Http.Connections.Client/src/Internal/SendUtils.cs,51,System.Net.Http.HttpClient,SendAsync,System.Net.Http.HttpClient,NonVirtual
aspnetcore:0681,aspnetcore,src/SignalR/clients/csharp/Http.Connections.Client/src/Internal/ServerSentEventsTransport.cs,62,System.Net.Http.HttpClient,SendAsync,System.Net.Http.HttpClient,NonVirtual
aspnetcore:0682,aspnetcore,src/SignalR/common/Http.Connections/src/ConnectionEndpointRouteBuilderExtensions.cs,86,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0683,aspnetcore,src/SignalR/common/Http.Connections/src/Internal/HttpConnectionDispatcher.cs,764,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,CreateAsyncScope,System.IServiceProvider,Extension
aspnetcore:0688,aspnetcore,src/SignalR/server/Core/src/Internal/DefaultHubActivator.cs,27,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
aspnetcore:0689,aspnetcore,src/SignalR/server/Core/src/Internal/DefaultHubDispatcher.cs,85,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,CreateAsyncScope,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,Extension
aspnetcore:0690,aspnetcore,src/SignalR/server/Core/src/Internal/DefaultHubDispatcher.cs,87,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0691,aspnetcore,src/SignalR/server/Core/src/Internal/DefaultHubDispatcher.cs,121,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,CreateAsyncScope,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,Extension
