phase,model,run,attempts_total,non_submitted_total,category,count,infra_bucket
phase2-agentic,llama-3.3-70b-instruct,1,300,264,server-5xx,0,1
phase2-agentic,llama-3.3-70b-instruct,1,300,264,api-version-unsupported,218,1
phase2-agentic,llama-3.3-70b-instruct,1,300,264,baseline_compile_failed,38,0
phase2-agentic,llama-3.3-70b-instruct,1,300,264,baseline_no_owning_csproj,3,0
phase2-agentic,llama-3.3-70b-instruct,1,300,264,other,0,0
phase2-agentic,llama-3.3-70b-instruct,2,300,260,timeout/connection,0,1
phase2-agentic,llama-3.3-70b-instruct,2,300,260,auth/access,0,1
phase2-agentic,llama-3.3-70b-instruct,2,300,260,rate-limit,1,1
phase2-agentic,llama-3.3-70b-instruct,2,300,260,server-5xx,0,1
phase2-agentic,llama-3.3-70b-instruct,2,300,260,api-version-unsupported,218,1
phase2-agentic,llama-3.3-70b-instruct,2,300,260,baseline_compile_failed,38,0
phase2-agentic,llama-3.3-70b-instruct,2,300,260,baseline_no_owning_csproj,3,0
phase2-agentic,llama-3.3-70b-instruct,2,300,260,other,0,0
phase2-agentic,llama-3.3-70b-instruct,3,300,262,timeout/connection,0,1
phase2-agentic,llama-3.3-70b-instruct,3,300,262,auth/access,0,1
phase2-agentic,llama-3.3-70b-instruct,3,300,262,rate-limit,3,1
phase2-agentic,llama-3.3-70b-instruct,3,300,262,server-5xx,0,1
phase2-agentic,llama-3.3-70b-instruct,3,300,262,api-version-unsupported,218,1
phase2-agentic,llama-3.3-70b-instruct,3,300,262,baseline_compile_failed,38,0
phase2-agentic,llama-3.3-70b-instruct,3,300,262,baseline_no_owning_csproj,3,0
phase2-agentic,llama-3.3-70b-instruct,3,300,262,other,0,0
phase2-agentic,phi-4,1,300,17,timeout/connection,0,1
phase2-agentic,phi-4,1,300,17,auth/access,0,1
phase2-agentic,phi-4,1,300,17,rate-limit,0,1
phase2-agentic,phi-4,1,300,17,server-5xx,0,1
phase2-agentic,phi-4,1,300,17,api-version-unsupported,0,1
phase2-agentic,phi-4,1,300,17,baseline_compile_failed,0,0
phase2-agentic,phi-4,1,300,17,baseline_no_owning_csproj,0,0
phase2-agentic,phi-4,1,300,17,other,17,0
phase2-agentic,phi-4,2,300,19,timeout/connection,0,1
phase2-agentic,phi-4,2,300,19,auth/access,0,1
phase2-agentic,phi-4,2,300,19,rate-limit,0,1
phase2-agentic,phi-4,2,300,19,server-5xx,0,1
phase2-agentic,phi-4,2,300,19,api-version-unsupported,0,1
phase2-agentic,phi-4,2,300,19,baseline_compile_failed,0,0
phase2-agentic,phi-4,2,300,19,baseline_no_owning_csproj,0,0
phase2-agentic,phi-4,2,300,19,other,19,0
phase2-agentic,phi-4,3,300,17,timeout/connection,0,1
phase2-agentic,phi-4,3,300,17,auth/access,0,1
phase2-agentic,phi-4,3,300,17,rate-limit,0,1
phase2-agentic,phi-4,3,300,17,server-5xx,0,1
phase2-agentic,phi-4,3,300,17,api-version-unsupported,0,1
phase2-agentic,phi-4,3,300,17,baseline_compile_failed,0,0
phase2-agentic,phi-4,3,300,17,baseline_no_owning_csproj,0,0
phase2-agentic,phi-4,3,300,17,other,17,0
phase3-agentic-loop,codestral-2501,1,300,15,timeout/connection,0,1
phase3-agentic-loop,codestral-2501,1,300,15,auth/access,0,1
phase3-agentic-loop,codestral-2501,1,300,15,rate-limit,0,1
phase3-agentic-loop,codestral-2501,1,300,15,server-5xx,0,1
phase3-agentic-loop,codestral-2501,1,300,15,api-version-unsupported,0,1
phase3-agentic-loop,codestral-2501,1,300,15,baseline_compile_failed,0,0
phase3-agentic-loop,codestral-2501,1,300,15,baseline_no_owning_csproj,0,0
phase3-agentic-loop,codestral-2501,1,300,15,other,15,0
phase3-agentic-loop,codestral-2501,2,300,13,timeout/connection,0,1
phase3-agentic-loop,codestral-2501,2,300,13,auth/access,0,1
phase3-agentic-loop,codestral-2501,2,300,13,rate-limit,0,1
phase3-agentic-loop,codestral-2501,2,300,13,server-5xx,0,1
phase3-agentic-loop,codestral-2501,2,300,13,api-version-unsupported,0,1
phase3-agentic-loop,codestral-2501,2,300,13,baseline_compile_failed,0,0
phase3-agentic-loop,codestral-2501,2,300,13,baseline_no_owning_csproj,0,0
phase3-agentic-loop,codestral-2501,2,300,13,other,13,0
phase3-agentic-loop,codestral-2501,3,300,17,timeout/connection,0,1
phase3-agentic-loop,codestral-2501,3,300,17,auth/access,0,1
phase3-agentic-loop,codestral-2501,3,300,17,rate-limit,0,1
phase3-agentic-loop,codestral-2501,3,300,17,server-5xx,0,1
phase3-agentic-loop,codestral-2501,3,300,17,api-version-unsupported,0,1
phase3-agentic-loop,codestral-2501,3,300,17,baseline_compile_failed,0,0
phase3-agentic-loop,codestral-2501,3,300,17,baseline_no_owning_csproj,0,0
phase3-agentic-loop,codestral-2501,3,300,17,other,17,0
phase3-agentic-loop,gpt-4.1-mini,1,300,300,timeout/connection,0,1
phase3-agentic-loop,gpt-4.1-mini,1,300,300,auth/access,0,1
phase3-agentic-loop,gpt-4.1-mini,1,300,300,rate-limit,0,1
phase3-agentic-loop,gpt-4.1-mini,1,300,300,server-5xx,0,1
phase3-agentic-loop,gpt-4.1-mini,1,300,300,api-version-unsupported,232,1
phase3-agentic-loop,gpt-4.1-mini,1,300,300,baseline_compile_failed,65,0
phase3-agentic-loop,gpt-4.1-mini,1,300,300,baseline_no_owning_csproj,3,0
phase3-agentic-loop,gpt-4.1-mini,1,300,300,other,0,0
phase3-agentic-loop,gpt-4.1-mini,2,300,300,timeout/connection,0,1
phase3-agentic-loop,gpt-4.1-mini,2,300,300,auth/access,0,1
phase3-agentic-loop,gpt-4.1-mini,2,300,300,rate-limit,0,1
phase3-agentic-loop,gpt-4.1-mini,2,300,300,server-5xx,0,1
phase3-agentic-loop,gpt-4.1-mini,2,300,300,api-version-unsupported,232,1
phase3-agentic-loop,gpt-4.1-mini,2,300,300,baseline_compile_failed,65,0
phase3-agentic-loop,gpt-4.1-mini,2,300,300,baseline_no_owning_csproj,3,0
phase3-agentic-loop,gpt-4.1-mini,2,300,300,other,0,0
phase3-agentic-loop,gpt-4.1-mini,3,300,300,timeout/connection,0,1
phase3-agentic-loop,gpt-4.1-mini,3,300,300,auth/access,0,1
phase3-agentic-loop,gpt-4.1-mini,3,300,300,rate-limit,0,1
phase3-agentic-loop,gpt-4.1-mini,3,300,300,server-5xx,0,1
phase3-agentic-loop,gpt-4.1-mini,3,300,300,api-version-unsupported,232,1
phase3-agentic-loop,gpt-4.1-mini,3,300,300,baseline_compile_failed,65,0
phase3-agentic-loop,gpt-4.1-mini,3,300,300,baseline_no_owning_csproj,3,0
phase3-agentic-loop,gpt-4.1-mini,3,300,300,other,0,0
phase3-agentic-loop,gpt-4.1-nano,1,300,300,timeout/connection,0,1
phase3-agentic-loop,gpt-4.1-nano,1,300,300,auth/access,0,1
phase3-agentic-loop,gpt-4.1-nano,1,300,300,rate-limit,0,1
phase3-agentic-loop,gpt-4.1-nano,1,300,300,server-5xx,0,1
phase3-agentic-loop,gpt-4.1-nano,1,300,300,api-version-unsupported,232,1
phase3-agentic-loop,gpt-4.1-nano,1,300,300,baseline_compile_failed,65,0
phase3-agentic-loop,gpt-4.1-nano,1,300,300,baseline_no_owning_csproj,3,0
phase3-agentic-loop,gpt-4.1-nano,1,300,300,other,0,0
phase3-agentic-loop,gpt-4.1-nano,2,300,300,timeout/connection,0,1
