phase,model,run,attempts_total,non_submitted_total,category,count,infra_bucket
phase2-agentic,gpt-5-codex,1,300,245,baseline_compile_failed,0,0
phase2-agentic,gpt-5-codex,1,300,245,baseline_no_owning_csproj,0,0
phase2-agentic,gpt-5-codex,1,300,245,max-turns-exhausted,55,0
phase2-agentic,gpt-5-codex,1,300,245,context-length,0,0
phase2-agentic,gpt-5-codex,1,300,245,content-filter,0,0
phase2-agentic,gpt-5-codex,1,300,245,invalid-prompt,0,0
phase2-agentic,gpt-5-codex,1,300,245,adapter-parse-error,0,0
phase2-agentic,gpt-5-codex,1,300,245,other,0,0
phase2-agentic,gpt-5-codex,2,300,249,timeout/connection,0,1
phase2-agentic,gpt-5-codex,2,300,249,auth/access,0,1
phase2-agentic,gpt-5-codex,2,300,249,rate-limit,94,1
phase2-agentic,gpt-5-codex,2,300,249,server-5xx,99,1
phase2-agentic,gpt-5-codex,2,300,249,api-version-unsupported,0,1
phase2-agentic,gpt-5-codex,2,300,249,baseline_compile_failed,0,0
phase2-agentic,gpt-5-codex,2,300,249,baseline_no_owning_csproj,0,0
phase2-agentic,gpt-5-codex,2,300,249,max-turns-exhausted,55,0
phase2-agentic,gpt-5-codex,2,300,249,context-length,0,0
phase2-agentic,gpt-5-codex,2,300,249,content-filter,0,0
phase2-agentic,gpt-5-codex,2,300,249,invalid-prompt,1,0
phase2-agentic,gpt-5-codex,2,300,249,adapter-parse-error,0,0
phase2-agentic,gpt-5-codex,2,300,249,other,0,0
phase2-agentic,gpt-5-codex,3,300,245,timeout/connection,0,1
phase2-agentic,gpt-5-codex,3,300,245,auth/access,0,1
phase2-agentic,gpt-5-codex,3,300,245,rate-limit,81,1
phase2-agentic,gpt-5-codex,3,300,245,server-5xx,109,1
phase2-agentic,gpt-5-codex,3,300,245,api-version-unsupported,0,1
phase2-agentic,gpt-5-codex,3,300,245,baseline_compile_failed,0,0
phase2-agentic,gpt-5-codex,3,300,245,baseline_no_owning_csproj,0,0
phase2-agentic,gpt-5-codex,3,300,245,max-turns-exhausted,55,0
phase2-agentic,gpt-5-codex,3,300,245,context-length,0,0
phase2-agentic,gpt-5-codex,3,300,245,content-filter,0,0
phase2-agentic,gpt-5-codex,3,300,245,invalid-prompt,0,0
phase2-agentic,gpt-5-codex,3,300,245,adapter-parse-error,0,0
phase2-agentic,gpt-5-codex,3,300,245,other,0,0
phase2-agentic,grok-4-1-fast,1,300,258,timeout/connection,0,1
phase2-agentic,grok-4-1-fast,1,300,258,auth/access,0,1
phase2-agentic,grok-4-1-fast,1,300,258,rate-limit,258,1
phase2-agentic,grok-4-1-fast,1,300,258,server-5xx,0,1
phase2-agentic,grok-4-1-fast,1,300,258,api-version-unsupported,0,1
phase2-agentic,grok-4-1-fast,1,300,258,baseline_compile_failed,0,0
phase2-agentic,grok-4-1-fast,1,300,258,baseline_no_owning_csproj,0,0
phase2-agentic,grok-4-1-fast,1,300,258,max-turns-exhausted,0,0
phase2-agentic,grok-4-1-fast,1,300,258,context-length,0,0
phase2-agentic,grok-4-1-fast,1,300,258,content-filter,0,0
phase2-agentic,grok-4-1-fast,1,300,258,invalid-prompt,0,0
phase2-agentic,grok-4-1-fast,1,300,258,adapter-parse-error,0,0
phase2-agentic,grok-4-1-fast,1,300,258,other,0,0
phase2-agentic,grok-4-1-fast,2,300,261,timeout/connection,0,1
phase2-agentic,grok-4-1-fast,2,300,261,auth/access,0,1
phase2-agentic,grok-4-1-fast,2,300,261,rate-limit,261,1
phase2-agentic,grok-4-1-fast,2,300,261,server-5xx,0,1
phase2-agentic,grok-4-1-fast,2,300,261,api-version-unsupported,0,1
phase2-agentic,grok-4-1-fast,2,300,261,baseline_compile_failed,0,0
phase2-agentic,grok-4-1-fast,2,300,261,baseline_no_owning_csproj,0,0
phase2-agentic,grok-4-1-fast,2,300,261,max-turns-exhausted,0,0
phase2-agentic,grok-4-1-fast,2,300,261,context-length,0,0
phase2-agentic,grok-4-1-fast,2,300,261,content-filter,0,0
phase2-agentic,grok-4-1-fast,2,300,261,invalid-prompt,0,0
phase2-agentic,grok-4-1-fast,2,300,261,adapter-parse-error,0,0
phase2-agentic,grok-4-1-fast,2,300,261,other,0,0
phase2-agentic,grok-4-1-fast,3,300,263,timeout/connection,0,1
phase2-agentic,grok-4-1-fast,3,300,263,auth/access,0,1
phase2-agentic,grok-4-1-fast,3,300,263,rate-limit,263,1
phase2-agentic,grok-4-1-fast,3,300,263,server-5xx,0,1
phase2-agentic,grok-4-1-fast,3,300,263,api-version-unsupported,0,1
phase2-agentic,grok-4-1-fast,3,300,263,baseline_compile_failed,0,0
phase2-agentic,grok-4-1-fast,3,300,263,baseline_no_owning_csproj,0,0
phase2-agentic,grok-4-1-fast,3,300,263,max-turns-exhausted,0,0
phase2-agentic,grok-4-1-fast,3,300,263,context-length,0,0
phase2-agentic,grok-4-1-fast,3,300,263,content-filter,0,0
phase2-agentic,grok-4-1-fast,3,300,263,invalid-prompt,0,0
phase2-agentic,grok-4-1-fast,3,300,263,adapter-parse-error,0,0
phase2-agentic,grok-4-1-fast,3,300,263,other,0,0
phase2-agentic,llama-3.3-70b-instruct,1,300,45,timeout/connection,0,1
phase2-agentic,llama-3.3-70b-instruct,1,300,45,auth/access,0,1
phase2-agentic,llama-3.3-70b-instruct,1,300,45,rate-limit,42,1
phase2-agentic,llama-3.3-70b-instruct,1,300,45,server-5xx,0,1
phase2-agentic,llama-3.3-70b-instruct,1,300,45,api-version-unsupported,0,1
phase2-agentic,llama-3.3-70b-instruct,1,300,45,baseline_compile_failed,0,0
phase2-agentic,llama-3.3-70b-instruct,1,300,45,baseline_no_owning_csproj,0,0
phase2-agentic,llama-3.3-70b-instruct,1,300,45,max-turns-exhausted,0,0
phase2-agentic,llama-3.3-70b-instruct,1,300,45,context-length,0,0
phase2-agentic,llama-3.3-70b-instruct,1,300,45,content-filter,0,0
phase2-agentic,llama-3.3-70b-instruct,1,300,45,invalid-prompt,0,0
phase2-agentic,llama-3.3-70b-instruct,1,300,45,adapter-parse-error,3,0
phase2-agentic,llama-3.3-70b-instruct,1,300,45,other,0,0
phase2-agentic,llama-3.3-70b-instruct,2,300,43,timeout/connection,0,1
phase2-agentic,llama-3.3-70b-instruct,2,300,43,auth/access,0,1
phase2-agentic,llama-3.3-70b-instruct,2,300,43,rate-limit,42,1
phase2-agentic,llama-3.3-70b-instruct,2,300,43,server-5xx,0,1
phase2-agentic,llama-3.3-70b-instruct,2,300,43,api-version-unsupported,0,1
phase2-agentic,llama-3.3-70b-instruct,2,300,43,baseline_compile_failed,0,0
phase2-agentic,llama-3.3-70b-instruct,2,300,43,baseline_no_owning_csproj,0,0
phase2-agentic,llama-3.3-70b-instruct,2,300,43,max-turns-exhausted,1,0
phase2-agentic,llama-3.3-70b-instruct,2,300,43,context-length,0,0
phase2-agentic,llama-3.3-70b-instruct,2,300,43,content-filter,0,0
phase2-agentic,llama-3.3-70b-instruct,2,300,43,invalid-prompt,0,0
phase2-agentic,llama-3.3-70b-instruct,2,300,43,adapter-parse-error,0,0
phase2-agentic,llama-3.3-70b-instruct,2,300,43,other,0,0
phase2-agentic,llama-3.3-70b-instruct,3,300,44,timeout/connection,0,1
phase2-agentic,llama-3.3-70b-instruct,3,300,44,auth/access,0,1
phase2-agentic,llama-3.3-70b-instruct,3,300,44,rate-limit,43,1
